SQ,0,2026-02-28T09:51:50.266Z,0.000
SQ,0,2026-02-28T09:51:50.281Z,0.000
SQ,0,2026-02-28T09:51:56.926Z,0.000
SQ,0,2026-02-28T09:51:56.941Z,0.000
SQ,0,2026-02-28T09:51:56.956Z,0.023
SQ,0,2026-02-28T09:51:56.985Z,0.036
SQ,0,2026-02-28T09:51:57.002Z,0.050
SQ,0,2026-02-28T09:51:57.030Z,0.061
SQ,0,2026-02-28T09:51:57.047Z,0.072
SQ,0,2026-02-28T09:51:57.076Z,0.082
SQ,0,2026-02-28T09:51:57.093Z,0.100
SQ,0,2026-02-28T09:51:57.125Z,0.120
SQ,0,2026-02-28T09:51:57.138Z,0.146
SQ,0,2026-02-28T09:51:57.152Z,0.161
SQ,0,2026-02-28T09:51:57.197Z,0.176
SQ,0,2026-02-28T09:51:57.226Z,0.188
SQ,0,2026-02-28T09:51:57.228Z,0.202
SQ,0,2026-02-28T09:51:57.242Z,0.217
SQ,0,2026-02-28T09:51:57.272Z,0.236
SQ,0,2026-02-28T09:51:57.290Z,0.254
SQ,0,2026-02-28T09:51:57.318Z,0.266
SQ,0,2026-02-28T09:51:57.331Z,0.289
SQ,0,2026-02-28T09:51:57.361Z,0.323
SQ,0,2026-02-28T09:51:57.378Z,0.385
SQ,0,2026-02-28T09:51:57.406Z,0.445
SQ,0,2026-02-28T09:51:57.444Z,0.526
SQ,0,2026-02-28T09:51:57.444Z,0.594
SQ,0,2026-02-28T09:51:57.510Z,0.679
SQ,0,2026-02-28T09:51:57.527Z,0.747
SQ,0,2026-02-28T09:51:57.542Z,0.927
SQ,0,2026-02-28T09:51:57.557Z,1.033
SQ,0,2026-02-28T09:51:57.571Z,1.144
SQ,0,2026-02-28T09:51:57.586Z,1.271
SQ,0,2026-02-28T09:51:57.601Z,1.405
SQ,0,2026-02-28T09:51:57.630Z,1.597
SQ,0,2026-02-28T09:51:57.647Z,1.767
SQ,0,2026-02-28T09:51:57.676Z,1.959
SQ,0,2026-02-28T09:51:57.691Z,2.062
SQ,0,2026-02-28T09:51:57.721Z,2.087
SQ,0,2026-02-28T09:51:57.737Z,1.982
SQ,0,2026-02-28T09:51:57.800Z,1.710
SQ,0,2026-02-28T09:51:57.814Z,1.422
SQ,0,2026-02-28T09:51:57.829Z,0.994
SQ,0,2026-02-28T09:51:57.843Z,0.678
SQ,0,2026-02-28T09:51:57.858Z,0.369
SQ,0,2026-02-28T09:51:57.889Z,0.040
SQ,0,2026-02-28T09:51:57.891Z,0.000
SQ,0,2026-02-28T09:51:58.115Z,0.000
SQ,0,2026-02-28T09:51:58.142Z,0.078
SQ,0,2026-02-28T09:51:58.159Z,0.169
SQ,0,2026-02-28T09:51:58.173Z,0.243
SQ,0,2026-02-28T09:51:58.189Z,0.308
SQ,0,2026-02-28T09:51:58.203Z,0.314
SQ,0,2026-02-28T09:51:58.234Z,0.270
SQ,0,2026-02-28T09:51:58.247Z,0.203
SQ,0,2026-02-28T09:51:58.276Z,0.096
SQ,0,2026-02-28T09:51:58.293Z,0.023
SQ,0,2026-02-28T09:51:58.339Z,0.000
SQ,0,2026-02-28T09:51:59.776Z,0.000
SQ,0,2026-02-28T09:51:59.792Z,0.025
SQ,0,2026-02-28T09:51:59.822Z,0.052
SQ,0,2026-02-28T09:51:59.837Z,0.105
SQ,0,2026-02-28T09:51:59.866Z,0.155
SQ,0,2026-02-28T09:51:59.911Z,0.206
SQ,0,2026-02-28T09:51:59.927Z,0.241
SQ,0,2026-02-28T09:51:59.943Z,0.292
SQ,0,2026-02-28T09:51:59.959Z,0.343
SQ,0,2026-02-28T09:51:59.973Z,0.389
SQ,0,2026-02-28T09:52:00.017Z,0.433
SQ,0,2026-02-28T09:52:00.033Z,0.499
SQ,0,2026-02-28T09:52:00.048Z,0.554
SQ,0,2026-02-28T09:52:00.079Z,0.609
SQ,0,2026-02-28T09:52:00.079Z,0.632
SQ,0,2026-02-28T09:52:00.092Z,0.584
SQ,0,2026-02-28T09:52:00.124Z,0.443
SQ,0,2026-02-28T09:52:00.138Z,0.168
SQ,0,2026-02-28T09:52:00.212Z,0.000
